State,Issuer_Id,Issuer_Name,Is_Issuer_New_to_Exchange,Issuer_Claims_Received_In_Network,Issuer_Claims_Denied_In_Network,Denial_Rate,Plan_Id,Plan_Type,Metal_Level,Plan_Claims_Received,Plan_Claims_Received_In_Network,Plan_Claims_Received_Out_Of_Network,Plan_Claims_Denied,Plan_Claims_Denied_In_Network,Plan_Claims_Denied_Out_Of_Network,Plan_Denial_Rate,Plan_Claims_Denial_Rate_In_Network,Plan_Claims_Denial_Rate_Out_Of_Network,Plan_Claims_Resubmitted_In_Network,Plan_Claims_Resubmitted_Out_Of_Network,Plan_Claims_Denied_Due_To_Referral_Required,Plan_Claims_Denied_Due_To_Out_Of_Network,Plan_Claims_Denied_Due_To_Services_Excluded,Plan_Claims_Denied_Due_To_Not_Medically_Necessary,Plan_Claims_Denied_Due_To_Not_Medically_Necessary_Excluding_Behavioral_Health,Plan_Claims_Denied_Due_To_Not_Medically_Necessary_Only_Behavioral_Health,Plan_Claims_Denied_Due_To_Enrollee_Benefit_Limit_Reached,Plan_Claims_Denied_Due_To_Member_Not_Covered,Plan_Claims_Denied_Due_To_Investigational_Experimental_Cosmetic_Procedure,Plan_Claims_Denied_Due_To_Administrative_Reason,Plan_Claims_Denied_Due_To_Other,Plan_Claims_Denied_Proportion_Due_To_Referral_Required,Plan_Claims_Denied_Proportion_Due_To_Services_Excluded,Plan_Claims_Denied_Proportion_Due_To_Not_Medically_Necessary,Plan_Claims_Denied_Proportion_Due_To_Not_Medically_Necessary_Excluding_Behavioral_Health,Plan_Claims_Denied_Proportion_Due_To_Not_Medically_Necessary_Only_Behavioral_Health,Plan_Claims_Denied_Proportion_Due_To_Enrollee_Benefit_Limit_Reached,Plan_Claims_Denied_Proportion_Due_To_Member_Not_Covered,Plan_Claims_Denied_Proportion_Due_To_Investigational_Experimental_Cosmetic_Procedure,Plan_Claims_Denied_Proportion_Due_To_Administrative_Reason,Plan_Claims_Denied_Proportion_Due_To_Other,Average_Monthly_Enrollment,Average_Monthly_Disenrollment
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340017,HMO,Bronze Expanded,7527,6851,676,2908,2613,295,0.3863425,0.381404175,0.436390533,132,**,243,460,144,,**,**,**,287,27,135,2784,0.067127072,0.039779006,,,,,0.079281768,0.007458564,0.037292818,0.769060773,226,47
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340020,HMO,Platinum,391,379,12,27,27,**,0.069053708,0.071240106,,**,**,**,**,**,,**,**,**,**,**,**,18,,,,,,,,,,1,**,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340021,HMO,Gold,1419,1265,154,441,412,29,0.310782241,0.3256917,0.188311688,29,**,56,63,85,,**,**,**,25,**,32,443,0.087363495,0.132605304,,,,,0.03900156,,0.049921997,0.691107644,43,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340023,HMO,Silver,889,803,86,263,237,26,0.29583802,0.295143213,0.302325581,**,**,35,31,26,,**,**,**,45,**,**,251,0.098039216,0.072829132,,,,,0.12605042,,,0.703081232,24,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340025,HMO,Silver,3036,2695,341,1157,1001,156,0.381093544,0.371428571,0.457478006,24,**,90,192,39,,**,**,**,266,**,25,1066,0.060565276,0.026244953,,,,,0.179004038,,0.016823688,0.717362046,62,28
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340026,HMO,Bronze Expanded,2074,1856,218,715,626,89,0.344744455,0.337284483,0.408256881,16,**,130,145,12,,**,**,**,236,**,11,447,0.155502392,0.014354067,,,,,0.282296651,,0.013157895,0.534688995,49,19
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340027,HMO,Bronze Expanded,2553,2227,326,869,730,139,0.340383862,0.32779524,0.426380368,48,**,60,216,62,,**,**,**,111,**,13,692,0.063965885,0.066098081,,,,,0.118336887,,0.013859275,0.737739872,77,23
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340031,HMO,Gold,4831,3666,1165,1485,1033,452,0.307389774,0.281778505,0.387982833,64,26,177,547,118,,**,**,**,167,**,44,1026,0.115535248,0.077023499,,,,,0.109007833,,0.028720627,0.669712794,88,13
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340033,HMO,Silver,4817,3684,1133,2017,1386,631,0.418725348,0.376221498,0.556928508,87,**,211,770,46,,**,**,**,324,**,42,1179,0.11709212,0.025527192,,,,,0.179800222,,0.023307436,0.65427303,89,25
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340035,HMO,Silver,7890,5879,2011,2602,1916,686,0.329784537,0.325905766,0.341123819,120,57,215,911,139,,**,**,**,803,**,76,1777,0.071428571,0.046179402,,,,,0.266777409,,0.025249169,0.590365449,100,27
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340036,HMO,Bronze Expanded,6338,4828,1510,2145,1534,611,0.338434837,0.317729909,0.404635762,202,28,267,835,131,,**,**,**,358,**,70,1388,0.120596206,0.059168925,,,,,0.161698284,,0.031616983,0.626919603,177,38
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340037,HMO,Bronze Expanded,4786,3680,1106,1811,1357,454,0.37839532,0.36875,0.410488246,140,14,359,571,139,,**,**,**,294,**,44,1041,0.191262653,0.074054342,,,,,0.156632925,,0.023441662,0.554608418,233,44
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340041,HMO,Gold,2903,2425,478,459,400,59,0.158112298,0.164948454,0.123430962,**,**,71,79,54,,**,**,**,17,**,**,428,0.124561404,0.094736842,,,,,0.029824561,,,0.750877193,46,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340043,HMO,Silver,3243,2785,458,1020,853,167,0.314523589,0.306283662,0.364628821,80,16,199,209,98,,**,**,**,417,**,18,735,0.135650988,0.066802999,,,,,0.284253579,,0.012269939,0.501022495,62,15
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340045,HMO,Silver,6461,5155,1306,2283,1895,388,0.353350874,0.367604268,0.297090352,53,18,218,492,83,,**,**,**,224,**,38,1949,0.086783439,0.033041401,,,,,0.089171975,,0.015127389,0.775875796,82,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340046,HMO,Bronze Expanded,2726,2300,426,989,816,173,0.362802641,0.354782609,0.406103286,82,22,193,220,100,,**,**,**,163,**,34,656,0.168411867,0.087260035,,,,,0.142233857,,0.029668412,0.572425829,153,35
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340047,HMO,Bronze Expanded,5696,4515,1181,2570,2186,384,0.45119382,0.484163898,0.32514818,123,39,138,448,112,,**,**,**,284,11,68,1955,0.053738318,0.043613707,,,,,0.1105919,0.004283489,0.026479751,0.761292835,165,45
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340063,HMO,Platinum,241,241,**,64,64,**,0.265560166,0.265560166,,**,**,**,**,**,,**,**,**,13,**,**,72,,,,,,,0.152941176,,,0.847058824,**,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340071,HMO,Gold,690,604,86,286,258,28,0.414492754,0.427152318,0.325581395,**,**,**,42,**,,**,**,**,55,**,**,237,,,,,,,0.188356164,,,0.811643836,**,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340072,HMO,Gold,1159,1133,26,394,376,18,0.339948231,0.331862312,0.692307692,25,**,41,28,27,,**,**,**,188,**,**,288,0.075367647,0.049632353,,,,,0.345588235,,,0.529411765,20,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340073,HMO,Gold,157,121,36,46,30,16,0.292993631,0.247933884,0.444444444,**,**,**,16,**,,**,**,**,**,**,**,32,,,,,,,,,,1,**,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340074,HMO,Gold,1032,810,222,168,113,55,0.162790698,0.139506173,0.247747748,**,**,**,68,11,,**,**,**,**,**,18,134,,0.067484663,,,,,,,0.110429448,0.82208589,**,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340075,HMO,Gold,230,208,22,59,59,**,0.256521739,0.283653846,,**,**,22,**,**,,**,**,**,**,**,**,41,0.349206349,,,,,,,,,0.650793651,**,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340081,HMO,Silver,20438,18513,1925,6297,5621,676,0.308102554,0.30362448,0.351168831,259,**,637,1003,284,,**,**,30,856,**,285,6203,0.076793249,0.034237492,,,,0.003616637,0.103194696,,0.034358047,0.747799879,311,73
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340082,HMO,Silver,20597,18525,2072,7264,6480,784,0.352672719,0.349797571,0.378378378,521,15,1281,1081,293,,**,**,**,1130,**,249,6865,0.130474638,0.029843145,,,,,0.115094724,,0.025361581,0.699225912,331,54
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340083,HMO,Silver,1511,1325,186,587,493,94,0.388484447,0.372075472,0.505376344,**,**,81,147,22,,**,**,**,42,**,14,492,0.124423963,0.033794163,,,,,0.064516129,,0.021505376,0.755760369,26,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340084,HMO,Silver,9988,7911,2077,3679,2875,804,0.36834201,0.363418026,0.387096774,173,37,371,1209,151,,**,**,**,788,**,111,2775,0.088417541,0.035986654,,,,,0.187797903,,0.026453765,0.661344137,177,39
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340085,HMO,Silver,5347,4284,1063,1800,1393,407,0.336637367,0.325163399,0.382878645,113,16,195,499,159,,**,**,**,264,**,125,1135,0.103833866,0.084664537,,,,,0.14057508,,0.06656017,0.604366347,103,21
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340091,HMO,Bronze Expanded,4438,3849,589,1795,1644,151,0.404461469,0.427123928,0.256366723,11,17,118,229,79,,**,**,36,710,**,24,1369,0.050513699,0.033818493,,,,0.015410959,0.303938356,,0.010273973,0.586044521,118,22
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340092,HMO,Bronze Expanded,8089,7413,676,4273,3966,307,0.528248238,0.53500607,0.454142012,68,**,166,423,202,,**,**,**,429,**,136,3849,0.034713509,0.04224174,,,,,0.089711418,,0.028439983,0.80489335,183,36
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340093,HMO,Bronze Expanded,1890,1713,177,765,687,78,0.404761905,0.401050788,0.440677966,21,**,109,101,19,,**,**,**,22,**,32,630,0.134236453,0.023399015,,,,,0.027093596,,0.039408867,0.775862069,38,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340094,HMO,Bronze Expanded,5057,3567,1490,1641,1081,560,0.324500692,0.303055789,0.375838926,68,**,182,654,110,,**,**,18,140,**,81,1026,0.116891458,0.070648683,,,,0.011560694,0.089916506,,0.052023121,0.658959538,123,18
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0340095,HMO,Bronze Expanded,2710,2390,320,1074,937,137,0.396309963,0.392050209,0.428125,28,14,83,168,97,,**,**,**,80,**,35,900,0.069456067,0.081171548,,,,,0.066945607,,0.029288703,0.753138075,85,19
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350001,HMO,Gold,7699,7010,689,2160,1970,190,0.280555916,0.281027104,0.275761974,156,13,230,339,139,,**,**,**,391,**,127,2300,0.072168183,0.043614685,,,,,0.122685912,,0.039849388,0.721681832,176,30
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350003,HMO,Silver,10033,8960,1073,3756,3267,489,0.374364597,0.364620536,0.455731594,190,29,233,670,64,,**,**,**,717,**,102,3279,0.05301479,0.014562002,,,,,0.163139932,,0.023208191,0.746075085,182,70
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350005,HMO,Silver,5776,5456,320,1695,1597,98,0.293455679,0.292705279,0.30625,196,**,123,167,50,,**,**,**,833,**,47,1541,0.047417116,0.019275251,,,,,0.321125675,,0.018118736,0.594063223,78,33
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350011,HMO,Gold,12086,10929,1157,3799,3251,548,0.31433063,0.297465459,0.473638721,314,**,482,732,192,,**,**,**,216,22,127,4249,0.091149773,0.036308623,,,,,0.040847201,0.004160363,0.024016641,0.803517398,247,53
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350013,HMO,Silver,9885,8815,1070,3667,3230,437,0.37096611,0.366420874,0.408411215,205,31,229,649,154,,**,**,**,754,**,166,3250,0.050296508,0.033823852,,,,,0.165605096,,0.036459477,0.713815067,203,59
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350015,HMO,Silver,6996,6209,787,2488,2200,288,0.35563179,0.354324368,0.365946633,112,**,314,418,106,,**,**,**,469,**,64,2304,0.096407737,0.032545287,,,,,0.143997544,,0.019649985,0.707399447,137,39
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350020,HMO,Platinum,469,430,39,135,123,12,0.287846482,0.286046512,0.307692308,50,**,13,15,18,,**,**,**,**,**,**,119,0.086666667,0.12,,,,,,,,0.793333333,14,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350021,HMO,Gold,1550,1318,232,388,325,63,0.250322581,0.246585736,0.271551724,**,**,55,72,44,,**,**,**,24,**,31,366,0.105769231,0.084615385,,,,,0.046153846,,0.059615385,0.703846154,48,13
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350023,HMO,Silver,1793,1495,298,771,624,147,0.430005577,0.417391304,0.493288591,14,**,106,205,30,,**,**,**,154,**,18,608,0.115720524,0.032751092,,,,,0.168122271,,0.019650655,0.663755459,44,22
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350025,HMO,Silver,920,746,174,297,262,35,0.322826087,0.351206434,0.201149425,16,**,37,52,14,,**,**,**,13,**,**,342,0.091133005,0.034482759,,,,,0.032019704,,,0.842364532,18,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350031,HMO,Gold,2382,1823,559,804,560,244,0.337531486,0.307185957,0.436493739,40,15,135,298,**,,**,**,**,59,**,57,575,0.163438257,,,,,,0.071428571,,0.069007264,0.696125908,48,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350033,HMO,Silver,3359,2791,568,1240,998,242,0.369157487,0.357577929,0.426056338,59,**,228,350,79,,**,**,**,91,**,48,1001,0.157567381,0.054595715,,,,,0.062888735,,0.03317208,0.691776088,80,22
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350035,HMO,Silver,3669,2829,840,1196,938,258,0.32597438,0.331565924,0.307142857,43,20,288,312,38,,**,**,**,367,**,28,813,0.187744459,0.024771838,,,,,0.239243807,,0.018252934,0.529986962,40,12
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350041,HMO,Gold,2191,1963,228,611,512,99,0.278868097,0.260825267,0.434210526,17,**,142,140,25,,**,**,**,67,**,17,485,0.192934783,0.033967391,,,,,0.091032609,,0.023097826,0.658967391,50,**
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350043,HMO,Silver,1765,1477,288,664,540,124,0.376203966,0.365605958,0.430555556,43,22,193,187,80,,**,**,**,147,**,**,453,0.221076747,0.09163803,,,,,0.16838488,,,0.518900344,50,15
FL,19898,"AvMed, Inc.",No,333160,111366,0.339622445,19898FL0350045,HMO,Silver,1777,1419,358,555,459,96,0.312324142,0.32346723,0.268156425,54,**,56,123,75,,**,**,**,174,**,39,492,0.066985646,0.089712919,,,,,0.208133971,,0.046650718,0.588516746,51,**
TX,20069,Oscar Insurance Company,No,1845992,337877,0.22464623,20069TX0100005,EPO,Bronze Expanded,743389,607031,136358,183252,117316,65936,0.246508894,0.193261959,0.483550653,12709,4814,9762,35364,24077,5101,4918,183,36038,192,420,69292,3006,0.066009413,0.162805637,0.034492319,0.033254896,0.001237423,0.24368441,0.00129828,0.002839987,0.468543763,0.020326193,39725,7969
TX,20069,Oscar Insurance Company,No,1845992,337877,0.22464623,20069TX0100006,EPO,Silver,206077,187616,18461,42058,32161,9897,0.204088763,0.171419282,0.536103136,4751,560,3238,4505,5771,836,796,40,10987,14,172,14937,1598,0.086224802,0.153676138,0.02226187,0.021196709,0.001065161,0.292573163,0.000372806,0.004580193,0.397757836,0.042553191,3078,550
TX,20069,Oscar Insurance Company,No,1845992,337877,0.22464623,20069TX0100024,EPO,Bronze Expanded,258283,220797,37486,59830,42028,17802,0.231645133,0.190346789,0.474897295,5206,1090,3379,10178,7720,1716,1653,63,13698,157,140,21728,1114,0.068053653,0.155482156,0.034560541,0.03329171,0.001268831,0.275880126,0.003162008,0.002819625,0.437605736,0.022436156,12766,3215
TX,20069,Oscar Insurance Company,No,1845992,337877,0.22464623,20069TX0100025,EPO,Silver,309591,278850,30741,64268,48133,16135,0.207590014,0.172612516,0.524869067,6987,893,4885,8308,8211,1995,1891,104,16331,88,285,22101,2064,0.087294496,0.146729807,0.035650465,0.033791994,0.00185847,0.291833452,0.001572552,0.005092924,0.394942816,0.036883488,4373,756
TX,20069,Oscar Insurance Company,No,1845992,337877,0.22464623,20069TX0100050,EPO,Bronze Expanded,190805,165558,25247,41512,29273,12239,0.217562433,0.176814168,0.484770468,3318,506,2852,7137,5573,1410,1293,117,9601,23,109,14284,523,0.082967273,0.162123636,0.041018182,0.037614545,0.003403636,0.279301818,0.000669091,0.003170909,0.415534545,0.015214545,8257,1938
TX,20069,Oscar Insurance Company,No,1845992,337877,0.22464623,20069TX0100052,EPO,Silver,110268,98685,11583,22982,17792,5190,0.208419487,0.180290824,0.448070448,2224,283,2045,2869,3202,893,861,32,6538,19,66,6919,431,0.101675533,0.159200517,0.044399145,0.042808134,0.001591011,0.325063392,0.000944663,0.00328146,0.344006364,0.021428927,1542,255
TX,20069,Oscar Insurance Company,No,1845992,337877,0.22464623,20069TX0100053,EPO,Gold,315885,287455,28430,65560,51174,14386,0.207543885,0.178024386,0.506014773,6257,425,5930,8649,9205,2101,1993,108,17244,87,283,20717,1344,0.104197783,0.161743775,0.036917292,0.035019592,0.0018977,0.30299942,0.001528703,0.004972677,0.36402453,0.023615821,5544,863
IL,20129,"Health Alliance Medical Plans, Inc.",No,1507897,187861,0.123010036,20129IL0330020,HMO,Catastrophic,1020,988,32,75,75,**,0.073529412,0.075910931,,**,**,**,**,**,,**,**,**,**,**,**,75,,,,,,,,,,1,94,23
IL,20129,"Health Alliance Medical Plans, Inc.",No,1507897,187861,0.123010036,20129IL0340035,POS,Bronze Expanded,81915,80330,1585,6108,6108,**,0.074565098,0.07603635,,**,**,57,**,24,,**,**,**,**,**,13,6028,0.009310683,0.003920287,,,,,,,0.002123489,0.984645541,2955,398
IL,20129,"Health Alliance Medical Plans, Inc.",No,1507897,187861,0.123010036,20129IL0340045,POS,Silver,153699,149736,3963,12166,12166,**,0.079154711,0.081249666,,**,**,122,**,53,,**,**,**,**,11,43,11979,0.009993447,0.004341415,,,,,,0.000901048,0.00352228,0.981241809,4162,440
IL,20129,"Health Alliance Medical Plans, Inc.",No,1507897,187861,0.123010036,20129IL0340061,POS,Bronze Expanded,124904,120637,4267,10752,10752,**,0.086082111,0.089126885,,**,**,123,**,77,24,24,**,**,**,**,41,10569,0.011353147,0.007107255,0.002215248,0.002215248,,,,,0.003784382,0.975539967,5075,440
IL,20129,"Health Alliance Medical Plans, Inc.",No,1507897,187861,0.123010036,20129IL0340067,POS,Gold,53085,51817,1268,4043,4043,**,0.076160874,0.078024587,,**,**,58,**,41,,**,**,**,**,**,17,3949,0.014268143,0.010086101,,,,,,,0.004182042,0.971463715,1302,149
IL,20129,"Health Alliance Medical Plans, Inc.",No,1507897,187861,0.123010036,20129IL0340070,POS,Gold,127164,123210,3954,9732,9732,**,0.076531094,0.078987095,,**,**,105,**,53,,**,**,14,**,21,43,9561,0.010717567,0.005409819,,,,0.001429009,,0.002143513,0.004389099,0.975910993,2979,353
IL,20129,"Health Alliance Medical Plans, Inc.",No,1507897,187861,0.123010036,20129IL0340073,POS,Silver,37208,36297,911,2681,2681,**,0.072054397,0.073862854,,**,**,27,**,11,,**,**,**,**,**,15,2621,0.010097233,0.004113687,,,,,,,0.005609574,0.980179506,827,112
IL,20129,"Health Alliance Medical Plans, Inc.",No,1507897,187861,0.123010036,20129IL0340079,POS,Gold,77326,75203,2123,6340,6340,**,0.081990534,0.084305147,,**,**,82,**,29,,**,**,11,**,**,20,6219,0.012891055,0.004559032,,,,0.001729288,,,0.00314416,0.977676466,2093,269
IL,20129,"Health Alliance Medical Plans, Inc.",No,1507897,187861,0.123010036,20129IL0340080,POS,Silver,93255,90541,2714,7380,7380,**,0.079137848,0.081510034,,**,**,81,**,47,16,16,**,**,**,**,15,7259,0.010919385,0.00633594,0.002156916,0.002156916,,,,,0.002022108,0.978565651,2530,336
IL,20129,"Health Alliance Medical Plans, Inc.",No,1507897,187861,0.123010036,20129IL0340082,POS,Bronze Expanded,75396,73539,1857,5479,5479,**,0.072669638,0.074504685,,**,**,81,**,20,11,11,**,**,**,11,29,5377,0.014650027,0.003617291,0.00198951,0.00198951,,,,0.00198951,0.005245071,0.972508591,2970,333
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130001,PPO,Gold,7425,6901,524,603,577,26,0.081212121,0.083611071,0.049618321,457,44,90,**,79,,**,**,**,52,**,129,253,0.149253731,0.131011609,,,,,0.086235489,,0.213930348,0.419568823,63,**
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130011,PPO,Gold,1741,1708,33,147,147,**,0.084434233,0.086065574,,118,**,31,**,33,,**,**,**,**,**,23,71,0.196202532,0.208860759,,,,,,,0.14556962,0.449367089,31,**
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130020,PPO,Gold,45368,44910,458,2865,2837,28,0.063150238,0.063170786,0.061135371,2636,56,222,**,432,,**,**,79,199,20,913,1200,0.072430669,0.140946166,,,,0.025774878,0.064926591,0.006525285,0.297879282,0.391517129,474,57
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130021,PPO,Silver,34949,34665,284,2040,1936,104,0.058370769,0.055848839,0.366197183,1541,152,182,**,303,,**,**,22,245,**,578,710,0.089215686,0.148529412,,,,0.010784314,0.120098039,,0.283333333,0.348039216,471,63
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130023,PPO,Bronze Expanded,26003,25891,112,1521,1521,**,0.058493251,0.058746282,,1352,14,135,**,285,,**,**,26,170,**,386,539,0.087605451,0.184944841,,,,0.016872161,0.110317975,,0.250486697,0.349772875,495,62
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130025,PPO,Catastrophic,328,328,**,45,45,**,0.137195122,0.137195122,,14,**,**,**,**,,**,**,**,14,**,12,12,,,,,,,0.368421053,,0.315789474,0.315789474,**,**
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130026,PPO,Silver,47130,46050,1080,2912,2876,36,0.061786548,0.062453855,0.033333333,2613,84,244,**,562,,**,**,67,242,**,890,995,0.081333333,0.187333333,,,,0.022333333,0.080666667,,0.296666667,0.331666667,602,59
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130027,PPO,Bronze Expanded,109070,107576,1494,6132,5892,240,0.056220776,0.054770581,0.16064257,5650,156,394,**,1516,,**,**,402,408,**,1377,2249,0.062086354,0.23889064,,,,0.06334699,0.064292468,,0.216987078,0.35439647,2036,206
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130033,PPO,Silver,1384,1275,109,133,133,**,0.096098266,0.104313725,,84,59,18,**,31,,**,**,**,15,**,27,45,0.132352941,0.227941176,,,,,0.110294118,,0.198529412,0.330882353,29,**
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130034,PPO,Silver,3271,3164,107,382,313,69,0.116783858,0.098925411,0.644859813,137,**,31,**,67,,**,**,**,41,**,64,173,0.082446809,0.178191489,,,,,0.109042553,,0.170212766,0.460106383,54,**
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130035,PPO,Bronze Expanded,2552,2508,44,324,324,**,0.126959248,0.129186603,,113,**,12,**,46,,**,**,**,23,**,87,165,0.036036036,0.138138138,,,,,0.069069069,,0.261261261,0.495495495,62,**
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130036,PPO,Bronze Expanded,2809,2695,114,242,242,**,0.086151655,0.089795918,,130,**,13,**,28,,**,**,**,18,**,56,133,0.052419355,0.112903226,,,,,0.072580645,,0.225806452,0.536290323,69,**
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130037,PPO,Silver,2325,2107,218,216,187,29,0.092903226,0.08875178,0.133027523,97,45,33,**,27,,**,**,**,**,**,31,117,0.158653846,0.129807692,,,,,,,0.149038462,0.5625,53,**
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130038,PPO,Bronze Expanded,11301,10864,437,1098,1018,80,0.097159543,0.093703976,0.183066362,639,**,202,**,185,,**,**,**,57,**,148,490,0.186691312,0.170979667,,,,,0.052680222,,0.136783734,0.452865065,320,33
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130039,PPO,Catastrophic,97,97,**,17,17,**,0.175257732,0.175257732,,**,**,**,**,**,,**,**,**,**,**,**,**,,,,,,,,,,,**,**
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130040,PPO,Gold,4819,4819,**,472,472,**,0.097945632,0.097945632,,213,**,46,**,84,,**,**,**,41,**,64,235,0.09787234,0.178723404,,,,,0.087234043,,0.136170213,0.5,**,**
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130041,PPO,Silver,13944,13802,142,1192,1176,16,0.085484796,0.085205043,0.112676056,832,**,94,**,284,,**,**,77,58,**,259,493,0.0743083,0.224505929,,,,0.060869565,0.045849802,,0.204743083,0.38972332,217,25
WI,20173,HealthPartners Insurance Company,No,363667,24127,0.067137571,20173WI0130042,PPO,Bronze Expanded,5217,5093,124,476,476,**,0.091240176,0.093461614,,239,**,59,**,86,,**,**,**,49,**,103,190,0.121149897,0.176591376,,,,,0.100616016,,0.211498973,0.390143737,157,18
NE,20305,Medica Insurance Company,No,1402896,385271,0.29086926,20305NE0030025,EPO,Gold,19689,19198,491,6288,5813,475,0.319366144,0.302791957,0.967413442,850,112,202,**,93,,**,**,352,1079,**,2689,1867,0.032155365,0.014804202,,,,0.05603311,0.171760586,,0.428048392,0.297198344,270,32
NE,20305,Medica Insurance Company,No,1402896,385271,0.29086926,20305NE0030041,EPO,Bronze Expanded,37658,36662,996,11404,10377,1027,0.30283074,0.283045115,1.031124498,1145,251,643,**,192,,**,**,644,2602,**,4358,2956,0.056428258,0.016849495,,,,0.056516016,0.228345766,,0.382448442,0.259412023,1328,171
NE,20305,Medica Insurance Company,No,1402896,385271,0.29086926,20305NE0030051,EPO,Bronze Expanded,58493,56999,1494,16138,14669,1469,0.275896261,0.257355392,0.983266399,2305,527,959,27,267,,**,**,782,3158,**,6886,4050,0.059557819,0.016581791,,,,0.048565396,0.196124705,,0.427648739,0.25152155,1849,208
